scenario,seed,true_positive_cells,false_positive_cells,false_negative_cells,true_negative_cells,precision,recall,f1,false_safe_rate,target_produced,target_is_truly_safe,target_error_m,runtime_ms,peak_detector_memory_kib,coverage,direct_measurement_coverage,raw_samples,frames,acquisition_duration_s,candidate_count,truth_safe_cells,predicted_safe_cells
mixed_slope,37,0,0,48,393,1.0,0.0,0.0,0.0,False,,,2.706899999793677,57.1494140625,1.0,0.8979591836734694,8799,150,10.0,0,48,0
mixed_slope,38,0,0,48,393,1.0,0.0,0.0,0.0,False,,,2.6201999999102554,57.1953125,1.0,0.9160997732426304,8855,150,10.0,0,48,0
mixed_slope,39,4,0,44,393,1.0,0.08333333333333333,0.15384615384615385,0.0,True,True,0.0,3.010100000210514,97.5205078125,1.0,0.9002267573696145,8817,150,10.0,1,48,4
mixed_slope,40,17,0,31,393,1.0,0.3541666666666667,0.5230769230769231,0.0,True,True,0.0,3.1751000001349894,247.4208984375,1.0,0.9024943310657596,8818,150,10.0,1,48,17
mixed_slope,41,4,0,44,393,1.0,0.08333333333333333,0.15384615384615385,0.0,True,True,0.0,4.027299999961542,97.37890625,1.0,0.9342403628117913,8859,150,10.0,1,48,4
mixed_slope,42,0,0,48,393,1.0,0.0,0.0,0.0,False,,,3.179099999670143,57.1953125,1.0,0.9206349206349206,8804,150,10.0,0,48,0
mixed_slope,43,6,0,42,393,1.0,0.125,0.2222222222222222,0.0,True,True,0.0,3.309500000341359,137.8486328125,1.0,0.9410430839002267,8795,150,10.0,1,48,6
mixed_slope,44,8,0,40,393,1.0,0.16666666666666666,0.2857142857142857,0.0,True,True,0.0,4.365000000234431,177.814453125,1.0,0.9183673469387755,8824,150,10.0,1,48,8
mixed_slope,45,0,0,48,393,1.0,0.0,0.0,0.0,False,,,2.8295000001890003,57.1953125,1.0,0.9229024943310657,8798,150,10.0,0,48,0
mixed_slope,46,1,0,47,393,1.0,0.020833333333333332,0.04081632653061225,0.0,True,True,0.0,3.224699999918812,57.1953125,1.0,0.9478458049886621,8828,150,10.0,1,48,1
mixed_slope,47,1,0,47,393,1.0,0.020833333333333332,0.04081632653061225,0.0,True,True,0.0,1.612499999737338,57.1494140625,1.0,0.9206349206349206,8832,150,10.0,1,48,1
mixed_slope,48,4,0,44,393,1.0,0.08333333333333333,0.15384615384615385,0.0,True,True,0.0,1.5081999999893014,97.474609375,1.0,0.8843537414965986,8873,150,10.0,1,48,4
mixed_slope,49,4,0,44,393,1.0,0.08333333333333333,0.15384615384615385,0.0,True,True,0.0,1.5300999998544285,97.4248046875,1.0,0.9002267573696145,8823,150,10.0,1,48,4
rough_patch,0,0,0,44,397,1.0,0.0,0.0,0.0,False,,,2.755699999852368,57.1494140625,1.0,0.9183673469387755,8808,150,10.0,0,44,0
rough_patch,1,0,0,60,381,1.0,0.0,0.0,0.0,False,,,2.9469999999491847,57.1494140625,1.0,0.9229024943310657,8862,150,10.0,0,60,0
rough_patch,2,0,0,63,378,1.0,0.0,0.0,0.0,False,,,2.885699999751523,57.1953125,1.0,0.9047619047619048,8807,150,10.0,0,63,0
rough_patch,3,12,0,31,398,1.0,0.27906976744186046,0.43636363636363634,0.0,True,True,0.0,3.425600000355189,216.66015625,1.0,0.9365079365079365,8847,150,10.0,1,43,12
rough_patch,4,0,0,56,385,1.0,0.0,0.0,0.0,False,,,3.1334000000242668,57.1953125,1.0,0.9251700680272109,8898,150,10.0,0,56,0
rough_patch,5,0,0,58,383,1.0,0.0,0.0,0.0,False,,,3.2805000000735163,57.1494140625,1.0,0.9342403628117913,8858,150,10.0,0,58,0
rough_patch,6,0,0,58,383,1.0,0.0,0.0,0.0,False,,,3.0383000002984772,57.2412109375,1.0,0.9319727891156463,8815,150,10.0,0,58,0
rough_patch,7,0,0,57,384,1.0,0.0,0.0,0.0,False,,,2.8956000001016946,57.1953125,1.0,0.9659863945578231,8882,150,10.0,0,57,0
rough_patch,8,0,0,44,397,1.0,0.0,0.0,0.0,False,,,2.759199999673001,57.1494140625,1.0,0.9206349206349206,8892,150,10.0,0,44,0
rough_patch,9,1,0,50,390,1.0,0.0196078431372549,0.038461538461538464,0.0,True,True,0.0,3.2275999997182225,57.1494140625,1.0,0.8979591836734694,8861,150,10.0,1,51,1
rough_patch,10,0,0,55,386,1.0,0.0,0.0,0.0,False,,,2.7926000002480578,57.1953125,1.0,0.8888888888888888,8815,150,10.0,0,55,0
rough_patch,11,0,0,43,398,1.0,0.0,0.0,0.0,False,,,2.9997999999977765,57.1953125,1.0,0.9229024943310657,8822,150,10.0,0,43,0
rough_patch,12,6,0,39,396,1.0,0.13333333333333333,0.23529411764705882,0.0,True,True,0.0,2.9043999998066283,137.8486328125,1.0,0.9206349206349206,8807,150,10.0,1,45,6
rough_patch,13,0,0,50,391,1.0,0.0,0.0,0.0,False,,,3.336799999942741,57.1494140625,1.0,0.9319727891156463,8835,150,10.0,0,50,0
rough_patch,14,0,0,47,394,1.0,0.0,0.0,0.0,False,,,1.9188000001122418,57.1953125,1.0,0.9206349206349206,8869,150,10.0,0,47,0
rough_patch,15,0,0,60,381,1.0,0.0,0.0,0.0,False,,,4.351500000211672,57.1953125,1.0,0.9229024943310657,8852,150,10.0,0,60,0
rough_patch,16,0,0,48,393,1.0,0.0,0.0,0.0,False,,,3.036300000076153,57.1943359375,1.0,0.8956916099773242,8828,150,10.0,0,48,0
rough_patch,17,0,0,54,387,1.0,0.0,0.0,0.0,False,,,3.0128999997032224,57.1943359375,1.0,0.9160997732426304,8790,150,10.0,0,54,0
rough_patch,18,0,0,46,395,1.0,0.0,0.0,0.0,False,,,2.821200000198587,57.1494140625,1.0,0.9002267573696145,8853,150,10.0,0,46,0
rough_patch,19,8,0,42,391,1.0,0.16,0.2758620689655173,0.0,True,True,0.0,3.4743000001071778,144.5224609375,1.0,0.9206349206349206,8842,150,10.0,2,50,8
rough_patch,20,0,0,51,390,1.0,0.0,0.0,0.0,False,,,2.8250000000298314,57.1953125,1.0,0.9251700680272109,8813,150,10.0,0,51,0
rough_patch,21,0,0,46,395,1.0,0.0,0.0,0.0,False,,,2.76609999991706,57.1494140625,1.0,0.9251700680272109,8807,150,10.0,0,46,0
rough_patch,22,0,0,53,388,1.0,0.0,0.0,0.0,False,,,2.894300000207295,57.1953125,0.9977324263038548,0.9024943310657596,8846,150,10.0,0,53,0
rough_patch,23,2,0,57,382,1.0,0.03389830508474576,0.06557377049180328,0.0,True,True,0.0,3.6179999997330015,57.1953125,1.0,0.9229024943310657,8861,150,10.0,1,59,2
rough_patch,24,7,0,53,381,1.0,0.11666666666666667,0.208955223880597,0.0,True,True,0.0,3.134900000077323,157.9970703125,1.0,0.927437641723356,8882,150,10.0,1,60,7
rough_patch,25,0,0,58,383,1.0,0.0,0.0,0.0,False,,,3.0159000002640823,57.1494140625,1.0,0.9433106575963719,8869,150,10.0,0,58,0
rough_patch,26,10,0,51,380,1.0,0.16393442622950818,0.28169014084507044,0.0,True,True,0.0,3.683900000396534,204.1943359375,1.0,0.9070294784580499,8877,150,10.0,1,61,10
rough_patch,27,0,0,48,393,1.0,0.0,0.0,0.0,False,,,3.303699999833043,57.1953125,1.0,0.9251700680272109,8818,150,10.0,0,48,0
rough_patch,28,2,0,53,386,1.0,0.03636363636363636,0.07017543859649122,0.0,True,True,0.0,3.337699999974575,57.1953125,1.0,0.9070294784580499,8815,150,10.0,1,55,2
rough_patch,29,0,0,54,387,1.0,0.0,0.0,0.0,False,,,2.8561000003719528,57.1494140625,1.0,0.9229024943310657,8825,150,10.0,0,54,0
rough_patch,30,0,0,49,392,1.0,0.0,0.0,0.0,False,,,2.7774000000135857,57.1953125,1.0,0.9342403628117913,8833,150,10.0,0,49,0
rough_patch,31,0,0,46,395,1.0,0.0,0.0,0.0,False,,,2.6411000003463414,57.1953125,1.0,0.9297052154195011,8792,150,10.0,0,46,0
rough_patch,32,2,0,55,384,1.0,0.03508771929824561,0.06779661016949151,0.0,True,True,0.0,3.7409999999908905,57.1494140625,1.0,0.9047619047619048,8878,150,10.0,1,57,2
rough_patch,33,0,0,51,390,1.0,0.0,0.0,0.0,False,,,3.252599999996164,57.1953125,1.0,0.9365079365079365,8834,150,10.0,0,51,0
rough_patch,34,0,0,53,388,1.0,0.0,0.0,0.0,False,,,2.7387000000089756,57.1953125,1.0,0.909297052154195,8796,150,10.0,0,53,0
rough_patch,35,0,0,61,380,1.0,0.0,0.0,0.0,False,,,2.639399999679881,57.2412109375,1.0,0.909297052154195,8823,150,10.0,0,61,0
rough_patch,36,0,0,53,388,1.0,0.0,0.0,0.0,False,,,2.6121999999304535,57.1494140625,1.0,0.9229024943310657,8860,150,10.0,0,53,0
rough_patch,37,0,0,58,383,1.0,0.0,0.0,0.0,False,,,2.8071000001546054,57.1494140625,1.0,0.8979591836734694,8799,150,10.0,0,58,0
rough_patch,38,0,0,52,389,1.0,0.0,0.0,0.0,False,,,2.7156000001014036,57.1953125,1.0,0.9160997732426304,8855,150,10.0,0,52,0
rough_patch,39,3,0,49,389,1.0,0.057692307692307696,0.1090909090909091,0.0,True,True,0.0,2.973899999688001,77.2763671875,1.0,0.9002267573696145,8817,150,10.0,1,52,3
rough_patch,40,15,0,50,376,1.0,0.23076923076923078,0.375,0.0,True,True,0.0,3.2423999996353814,235.1552734375,1.0,0.9024943310657596,8818,150,10.0,1,65,15
rough_patch,41,0,0,61,380,1.0,0.0,0.0,0.0,False,,,2.595999999812193,57.1953125,1.0,0.9342403628117913,8859,150,10.0,0,61,0
